11	11
11	11
11	11
11	11
7	7
14	13
8	8
10	10
8	8
7	7
12	12
8	8
13	13
8	8
12	12
8	8
14	14
16	16
10	10
13	13
5	9
13	13
0	11
12	12
0	7
9	9
12	12
10	10
11	12
13	13
14	14
17	17
15	15
0	12
15	15
9	9
14	14
12	12
11	11
11	11
8	8
11	11
8	8
14	14
8	8
12	12
7	7
13	13
7	7
9	9
10	10
16	16
18	18
13	13
0	18
7	7
11	11
6	6
8	8
15	15
9	9
12	12
9	9
13	13
13	13
0	7
8	8
12	12
12	12
9	9
9	9
13	13
8	8
11	11
11	11
11	11
9	9
12	12
11	11
9	9
15	15
10	10
8	8
12	12
17	17
14	14
8	8
7	7
10	10
10	10
16	16
14	14
8	8
9	10
15	15
12	12
13	13
7	7
10	10
14	14
