22	22
18	18
23	23
21	21
23	23
18	18
0	29
18	18
15	15
21	21
15	15
19	19
19	19
18	18
19	19
23	23
15	15
19	19
21	21
18	18
17	17
21	21
18	18
17	17
22	22
15	15
20	20
21	21
16	16
17	17
21	21
18	18
21	21
17	17
19	19
0	21
13	13
14	14
16	16
16	16
18	18
17	17
16	16
17	17
24	24
18	18
16	16
21	21
16	16
15	15
0	22
22	22
13	13
24	24
18	18
24	24
16	16
18	18
20	20
21	21
22	22
16	16
20	20
27	27
0	19
26	26
9	9
21	21
19	19
20	20
13	13
29	29
15	15
21	21
19	19
0	14
16	16
0	10
17	17
17	17
13	13
23	23
20	20
20	20
17	17
10	10
13	13
29	29
13	13
0	20
27	27
21	21
23	23
19	19
16	16
18	18
0	27
21	21
0	21
21	21
